E,N
501840.7579,185681.5922
502808.3026,186667.6431
502509.06,186961.71
502543.49,185883.53
502564.65,186577.99
502324.37,186926.22
502195.25,186619.96
502669.07,186737.23
502147.13,186206.75
502503.36,186101.60
502003.79,185936.90
502655.85,187046.42
502081.93,186725.49
501853.57,185720.72
503000.22,186437.04
502335.77,186613.82
502832.43,186672.78
503029.82,186066.40
501992.96,186139.43
502878.89,186383.08
502266.91,185838.50
502731.25,187066.73
502417.50,186491.22
501895.71,186555.21
502309.85,186265.49
502638.11,186420.59
501905.97,186339.20
501917.80,185803.36
502874.38,186510.98
501970.86,186344.49
502019.58,186314.33
502029.51,186526.22
502724.64,186882.84
501767.97,186600.66
502378.62,186728.99
502442.43,186355.03
502598.88,187175.60
502107.00,185824.21
502367.23,187070.45
502547.05,186039.65
502675.58,186974.27
502058.90,186106.49
501820.45,185993.12
502214.85,185866.58
501895.03,186046.24
502453.15,186755.04
502300.13,186774.55
502486.28,185976.28
502215.26,186784.77
502913.34,186334.17
501569.79,186887.68
501753.53,186339.49
502781.09,186129.08
501948.71,186858.74
